user_id,gender,favorite_genres,created_at,updated_at
32341,Non-binary,R&B,2023-05-10T19:52:49.844861,2024-12-26T04:16:46.924651
26803,Bigender,Country,2024-07-02T18:32:11.949801,2025-01-18T16:18:59.378015
17335,Gender questioning,Folk,2023-02-06T05:41:21.486322,2024-02-15T12:25:53.932983
27237,Genderqueer,Punk,2023-04-03T17:41:57.231021,2024-02-01T10:48:00.932132
2156,Non-binary,Country,2023-09-17T04:16:07.806937,2024-10-24T19:39:07.466184
50367,Gender questioning,Pop,2024-09-04T10:28:51.082424,2024-07-04T14:35:38.535220
78497,Non-binary,Techno,2024-08-21T14:52:19.245218,2024-03-11T02:56:17.065868
77727,Gender nonconforming,Funk,2023-07-02T19:15:11.923156,2025-01-21T01:23:00.801018
83501,Genderqueer,Punk,2024-11-24T07:58:43.523336,2024-03-12T15:05:29.545044
64039,Male,Alternative,2023-07-28T00:30:51.695022,2024-06-20T17:59:02.397037
11606,Bigender,Classical,2023-09-20T15:44:02.182880,2024-10-11T20:38:43.891278
70004,Bigender,Folk,2023-02-25T13:19:23.736589,2024-02-18T03:49:09.112178
71797,Non-binary,Metal,2023-05-27T15:56:30.905253,2024-11-10T06:29:18.460057
75135,Genderfluid,Techno,2023-09-23T16:19:37.308206,2024-08-28T13:04:21.441545
40833,Gender nonconforming,Alternative,2024-05-03T09:21:37.648367,2025-01-05T03:03:23.099452
47722,Genderqueer,Folk,2023-07-18T20:36:25.903629,2024-08-15T22:46:58.460580
47026,Male,R&B,2023-11-13T23:45:35.045565,2024-06-19T07:29:21.541195
75727,Female,Folk,2024-07-12T19:24:14.896428,2024-12-24T14:54:52.500051
78964,Non-binary,Metal,2024-08-13T09:08:36.627005,2024-10-15T01:40:59.459304
83758,Genderfluid,Hip Hop,2024-02-14T05:09:08.946856,2024-09-17T09:26:05.208080
5033,Female,Alternative,2023-06-10T07:31:22.807090,2024-06-20T14:02:03.602495
67764,Genderqueer,Punk,2024-04-30T21:49:07.327669,2024-03-26T16:59:18.749382
94515,Female,R&B,2024-10-04T19:44:33.668036,2024-11-19T19:11:45.897412
27447,Genderqueer,Blues,2024-01-20T08:12:50.516394,2024-02-06T04:20:58.398146
58105,Genderfluid,Rock,2024-07-28T13:35:22.555537,2024-07-10T20:27:40.980498
9347,Genderqueer,Metal,2023-07-23T05:23:58.569021,2025-01-03T14:24:43.907522
18375,Gender questioning,Punk,2024-05-01T17:43:00.260912,2024-07-06T13:57:08.384259
9869,Agender,R&B,2023-07-19T12:50:54.085643,2024-11-24T16:55:08.580717
83541,Female,Hip Hop,2024-01-06T04:38:21.266782,2024-12-15T05:46:10.271430
17045,Bigender,Funk,2024-09-16T13:05:52.843322,2024-07-06T08:09:27.013479
50307,Female,Country,2024-07-09T00:05:24.571928,2024-07-29T01:51:05.221943
3566,Female,Alternative,2024-02-22T20:56:37.129027,2025-01-15T03:40:47.661685
56602,Agender,Funk,2025-01-16T05:32:56.370271,2024-03-21T23:49:13.911157
