user_id,gender,favorite_genres,created_at,updated_at
40677,Male,Jazz,2023-07-29T19:12:12.635222,2024-02-27T01:03:18.739030
2154,Gender questioning,Hip Hop,2024-10-10T15:58:09.763079,2024-08-13T04:06:09.350804
44007,Agender,Alternative,2024-04-06T12:41:05.313265,2024-03-18T09:12:57.906614
14721,Gender questioning,Country,2024-04-05T08:39:53.432449,2024-10-18T10:31:22.737000
88619,Male,Reggae,2024-06-30T14:33:55.342991,2024-09-10T12:51:08.348150
49862,Gender nonconforming,R&B,2023-05-22T16:19:56.292580,2024-07-30T19:50:20.611807
85735,Genderfluid,Jazz,2023-06-16T12:52:01.695868,2024-05-09T09:15:24.727473
56988,Gender nonconforming,Metal,2023-03-06T23:18:16.551750,2024-02-25T03:39:23.157377
64184,Agender,Rock,2023-12-28T18:28:56.996479,2024-07-18T10:05:20.981382
53223,Female,Punk,2024-08-15T05:54:37.012298,2024-03-18T16:14:38.532394
59912,Female,Electronic,2023-07-10T02:00:15.191102,2024-06-26T00:35:31.956666
98025,Male,Jazz,2024-05-19T13:03:11.167309,2025-01-29T07:49:51.317148
58453,Bigender,Electronic,2023-06-07T03:09:08.131370,2025-01-10T20:11:12.669194
17289,Genderfluid,Alternative,2024-07-04T13:44:14.413125,2024-08-14T20:01:02.250175
83797,Genderqueer,Funk,2023-05-01T05:22:27.590831,2024-08-07T11:54:19.748148
40084,Gender questioning,Electronic,2023-05-11T06:46:17.912602,2024-08-20T12:55:55.400824
79614,Non-binary,Punk,2023-05-10T21:59:02.711029,2024-03-08T17:31:37.150314
15453,Agender,Metal,2023-05-20T14:26:38.318731,2024-06-11T09:45:22.440173
52680,Female,Indie,2023-08-04T00:57:38.861038,2024-06-22T15:34:48.075070
30156,Genderfluid,Electronic,2024-11-15T04:46:25.635489,2024-10-27T04:38:10.568433
58077,Gender nonconforming,Indie,2023-04-15T03:26:15.137299,2024-07-09T07:51:35.910910
3894,Genderqueer,Pop,2023-10-04T11:26:47.617694,2024-07-12T01:47:04.200823
93168,Bigender,Punk,2023-07-17T20:55:18.882585,2024-08-08T06:25:58.869558
28421,Non-binary,Pop,2023-12-09T04:43:17.683096,2024-04-01T22:54:58.434945
7706,Gender nonconforming,Classical,2023-10-14T20:54:21.766230,2024-11-12T21:35:57.015917
27815,Genderfluid,Country,2024-08-12T07:20:03.059382,2024-03-21T03:38:05.742147
87498,Non-binary,Indie,2024-08-12T13:36:14.995777,2024-06-07T14:41:33.026694
49266,Gender questioning,Pop,2023-02-19T09:15:06.138297,2024-11-25T15:53:19.730418
22525,Genderqueer,Alternative,2024-03-02T12:21:45.440174,2024-08-25T23:38:39.632598
92824,Gender nonconforming,Folk,2023-12-01T20:32:57.551203,2024-10-30T14:37:58.853371
14522,Genderqueer,Reggae,2023-09-01T15:48:47.289561,2024-11-01T07:33:42.003043
83536,Genderfluid,Hip Hop,2023-05-16T15:02:49.921596,2024-08-03T17:19:06.138716
20560,Gender nonconforming,Indie,2023-03-03T20:39:37.015135,2024-02-28T13:26:43.471098
56205,Male,R&B,2023-09-12T06:24:23.827611,2024-02-19T14:02:25.252975
1449,Female,Reggae,2023-04-20T07:42:24.861660,2025-01-29T20:36:51.455538
88133,Female,Pop,2024-05-23T01:58:27.452589,2024-07-01T15:11:53.980877
37528,Gender nonconforming,Blues,2024-02-01T18:32:15.707153,2024-11-07T17:35:52.654671
24232,Female,Techno,2024-07-02T21:26:44.357003,2024-11-02T14:01:58.193720
14276,Bigender,Funk,2023-06-11T12:41:53.580111,2024-03-14T05:44:30.918948
68109,Genderqueer,Alternative,2023-04-22T09:23:04.709499,2024-03-23T14:52:54.872818
86105,Male,Rock,2025-01-06T00:20:58.217162,2024-02-01T22:35:28.203376
87942,Male,Punk,2024-06-29T13:06:05.537701,2024-04-24T11:14:38.159016
31349,Gender nonconforming,Funk,2024-12-07T12:04:53.451202,2024-04-20T12:44:50.214324
19409,Male,Hip Hop,2024-03-17T10:33:03.624179,2024-05-02T22:37:17.181340
13282,Genderqueer,Electronic,2023-02-12T01:42:42.098567,2024-02-13T06:13:25.153664
52260,Non-binary,Rock,2024-10-31T17:41:35.346277,2025-01-29T22:52:25.209031
59173,Genderfluid,Folk,2023-06-11T15:13:08.532572,2024-12-10T19:56:03.867141
41424,Genderqueer,Rock,2024-02-25T14:19:33.365262,2024-11-11T16:51:04.508837
90693,Gender questioning,Classical,2023-03-05T02:30:16.772679,2024-10-01T23:23:13.137944
82555,Genderfluid,Metal,2024-11-30T07:37:12.510772,2024-08-10T22:39:33.368176
90415,Female,Country,2024-01-02T12:16:51.645312,2024-03-21T07:47:47.728420
14229,Genderfluid,Alternative,2023-02-03T18:27:38.829913,2024-02-06T19:36:40.574996
34211,Gender nonconforming,Pop,2024-09-23T11:21:46.217813,2025-01-15T16:19:15.743006
46560,Agender,Funk,2024-05-31T03:33:48.799020,2025-01-16T16:41:33.101431
5191,Genderqueer,Electronic,2023-05-16T08:16:14.206764,2024-02-28T00:22:00.731938
44402,Female,Alternative,2024-09-28T09:15:24.627672,2024-07-17T03:35:43.368705
36017,Agender,Rock,2024-10-24T13:57:22.683869,2024-11-04T02:42:02.238839
54948,Male,Reggae,2024-12-16T01:14:31.734254,2024-07-23T11:11:43.649311
19427,Gender nonconforming,Alternative,2023-09-03T12:59:19.291507,2024-03-10T21:38:07.974598
34321,Genderfluid,Country,2024-12-07T23:48:11.438905,2024-01-31T07:43:49.735123
44400,Female,Jazz,2024-12-28T02:26:49.498384,2024-10-24T20:27:38.824384
28046,Agender,Country,2024-09-30T09:56:38.839972,2024-07-15T04:01:10.102504
71226,Female,Techno,2024-09-14T16:21:03.011895,2024-10-01T02:55:42.197150
47018,Bigender,Rock,2023-12-15T12:28:17.485623,2024-03-20T11:08:52.084173
63483,Agender,Hip Hop,2023-05-14T13:45:31.828892,2024-07-06T05:35:56.169822
32629,Male,Electronic,2025-01-29T07:47:25.359259,2024-04-01T22:19:14.291511
19078,Male,Metal,2023-03-01T04:17:31.479398,2025-01-17T00:16:22.190947
52742,Genderfluid,Country,2023-04-04T16:35:49.965235,2024-12-08T00:01:31.239434
7907,Non-binary,Folk,2023-10-11T12:36:21.743198,2024-12-25T23:19:35.277130
42214,Agender,Folk,2023-02-14T20:41:22.773821,2024-11-19T21:37:19.669228
