user_id,gender,favorite_genres,created_at,updated_at
53503,Bigender,Techno,2023-09-05T05:10:26.169038,2024-08-26T23:45:17.191907
12419,Agender,Blues,2024-08-09T04:48:38.290260,2025-01-29T00:27:14.654552
84924,Non-binary,Blues,2024-12-06T05:49:34.376124,2024-04-04T10:21:28.887261
64072,Gender nonconforming,Electronic,2023-11-06T02:19:35.575354,2024-09-03T00:00:29.891274
62576,Male,Indie,2024-06-11T13:24:13.517099,2024-05-04T11:51:35.130122
74062,Bigender,Rock,2024-05-18T21:56:42.858790,2024-10-09T16:48:55.365768
69822,Non-binary,Indie,2024-01-14T05:49:07.223486,2024-02-27T05:02:19.327584
19672,Male,Techno,2023-12-26T07:39:48.620574,2024-11-20T19:13:28.345092
13533,Female,Funk,2023-05-12T13:51:04.519342,2024-07-24T18:44:44.126193
8449,Agender,Country,2024-09-07T06:49:50.675939,2024-07-06T08:50:57.837573
69157,Non-binary,Reggae,2024-02-09T16:28:51.717447,2024-04-15T16:30:28.317740
17028,Genderfluid,Pop,2023-12-06T01:02:02.448266,2024-03-03T12:19:37.493280
84729,Agender,R&B,2023-05-26T09:13:38.679881,2024-06-20T14:07:47.290821
16720,Genderfluid,Metal,2023-03-07T20:30:29.444318,2024-07-04T11:24:47.659144
1791,Female,Metal,2024-07-13T08:57:01.302208,2024-05-26T19:44:47.027045
57133,Genderqueer,Country,2024-10-23T19:57:05.726757,2024-02-27T12:38:20.663195
56861,Gender questioning,Indie,2023-03-23T04:23:31.154805,2024-07-17T18:09:23.780460
14808,Agender,Reggae,2024-05-14T06:09:21.760583,2024-07-07T08:35:05.860629
22402,Genderfluid,Punk,2023-02-13T08:27:02.079381,2024-10-08T10:29:35.093014
93622,Male,Alternative,2024-08-10T09:45:12.752577,2024-03-21T19:40:28.602950
50390,Genderfluid,Metal,2023-03-01T15:13:10.349929,2024-04-12T14:32:25.269413
19562,Gender nonconforming,Classical,2024-07-13T21:38:35.932420,2024-03-27T01:34:35.824593
62965,Male,Indie,2024-03-07T18:47:42.699297,2024-04-24T04:31:20.082180
3198,Non-binary,Country,2023-07-01T12:58:51.273774,2024-11-07T00:47:07.126680
12426,Non-binary,Classical,2024-09-08T02:34:09.007058,2024-12-22T11:07:28.425515
50139,Female,Electronic,2023-04-16T07:10:08.538201,2024-12-12T03:51:51.722321
44633,Genderfluid,Alternative,2023-11-05T14:29:11.721476,2024-07-08T07:04:40.706309
12766,Female,Blues,2024-10-21T05:25:17.398763,2024-06-21T13:14:26.023999
21270,Gender questioning,Jazz,2025-01-08T20:34:41.882701,2024-07-22T18:19:42.823438
