track_id,name,artist,songwriters,duration,genres,album,created_at,updated_at
95869,across,Robert Fuller,Louis Johnson,1448,feel,office,2023-05-06T08:09:26.784618,2024-05-29T16:43:04.492140
95763,enough,Carolyn Carr,Roger Carpenter,3081,nature,however,2023-11-24T05:49:22.715066,2024-06-14T14:19:05.401424
77430,provide,John Meyer,Wesley Turner,3394,clearly,weight,2024-01-12T08:04:52.408766,2024-10-09T06:10:41.683138
82992,impact,Susan Fry,Mary Wyatt,3531,information,policy,2024-01-30T05:41:42.166839,2024-03-03T10:20:13.874118
54048,suffer,Nicole Thompson,Candice Fritz,2844,none,pressure,2023-10-05T14:52:19.036598,2025-01-12T01:55:30.892239
86714,actually,Oscar Thomas,Melanie Ellison,1914,bag,nice,2024-04-16T08:20:51.650555,2024-11-21T06:07:36.704094
27138,eight,John Price,Amber Anderson,2361,picture,again,2023-06-18T16:59:08.808331,2024-02-18T16:20:51.267581
69792,teacher,Mr. Mark Duarte,Erika Perez,279,none,southern,2023-12-19T22:20:44.814445,2024-12-26T23:18:27.110274
50161,street,John Mckee,Mark Reyes,2898,hotel,for,2025-01-27T03:27:44.173606,2024-07-21T10:53:29.053528
87065,look,Connie Miller,Deborah Owen,2953,during,recent,2023-06-15T20:45:21.442100,2025-01-22T05:56:32.359132
86129,build,Teresa Salazar,Erin Anderson,409,particular,past,2024-01-05T05:47:46.118145,2024-06-03T19:50:31.762660
69716,central,Michele Johnson,Heather Holloway,2798,weight,same,2024-08-29T13:33:13.390520,2024-05-21T15:28:55.678038
41465,happy,Ruth Winters,Kathleen Alexander,2514,large,what,2024-12-31T13:33:18.500076,2024-08-26T22:47:20.054565
3822,exist,James Gutierrez,Matthew Jennings,1225,culture,thank,2023-02-24T19:17:35.881796,2024-08-30T06:07:39.689174
2232,indeed,William Orozco,Sarah Howard,1238,throw,turn,2024-04-25T17:02:50.728761,2024-12-10T15:12:25.101745
72966,tonight,Jessica Cox,Carlos Lopez DVM,1067,give,blood,2023-06-18T01:44:05.143657,2024-11-06T17:07:39.806405
70800,although,Teresa Adams,Charles House,2202,team,similar,2024-07-02T21:33:46.091694,2024-03-15T17:54:55.866309
6546,former,Kimberly Nicholson,Leroy Shaw,1009,window,left,2024-09-25T01:42:38.444362,2024-08-12T04:36:11.854863
35198,music,Eric Ellis,Sara Ray,2951,support,look,2023-04-04T19:56:03.738222,2024-03-14T02:56:18.766883
85612,reduce,Charles Stewart,Jonathan Gomez,1026,even,think,2023-11-25T21:38:26.523465,2024-08-31T09:19:25.888929
87983,whose,Andre Lee,Bobby Kramer DVM,70,three,yet,2024-09-18T16:02:39.970604,2024-03-28T17:39:07.848424
47287,natural,Joseph Mitchell,Mr. James Savage,1887,information,physical,2024-01-31T11:44:23.224475,2024-11-04T05:17:15.301867
48639,him,Sarah Fisher,Kelly Stevens,2122,away,wonder,2024-12-24T03:04:59.726834,2024-05-04T18:50:26.627373
57395,never,Kyle Johnson,Erika Jackson,3508,hard,small,2024-07-26T12:29:02.426717,2024-10-27T03:20:33.585703
62501,watch,Brenda Mullins,Donna Johnston,2342,chance,trouble,2024-01-15T23:03:42.677929,2024-04-18T07:37:21.027584
40620,large,Elizabeth Lopez,Rick Hall,3436,call,under,2024-03-13T10:48:05.165838,2024-04-03T14:45:50.264470
18000,product,Charles Nixon,Kathleen Fuentes,117,vote,idea,2024-02-01T19:38:39.702027,2024-02-19T04:23:54.059467
98753,knowledge,Joshua Rodriguez,Carlos Spears,3347,finally,hear,2024-01-11T00:45:35.725303,2024-07-13T11:55:49.129920
71701,rest,Tanya Hampton,Jessica Thomas,735,role,Republican,2025-01-21T21:34:38.824052,2024-08-31T21:51:04.002999
12276,education,Eddie Smith,Yvonne King,2854,media,catch,2024-01-10T21:59:29.175366,2024-12-21T00:41:05.972390
15942,fill,Randall White,Brenda Juarez,2943,role,than,2024-05-12T21:26:42.216152,2024-05-16T13:01:45.996903
73224,notice,Natalie Robinson,Thomas Woodward,1847,writer,technology,2024-05-15T19:22:49.179764,2024-06-16T06:00:48.840423
71832,sport,Shannon Arias DDS,Anthony Thompson,2367,pull,laugh,2023-07-12T20:02:52.968114,2024-11-09T06:13:58.887574
76224,customer,Justin Perry,Julie Torres,1236,this,positive,2023-03-22T00:41:51.736471,2024-08-21T08:15:15.809317
26766,skill,Jeff Anderson,Tina Sullivan,1486,must,mention,2024-06-01T18:46:36.217184,2024-06-20T13:16:57.836896
41273,computer,Christopher Wiley,Shannon Palmer,349,industry,theory,2023-02-02T15:22:06.155185,2024-02-26T02:01:53.400485
51677,join,Willie Cole,Timothy Klein,295,sit,whose,2024-08-01T18:16:28.962841,2024-08-01T15:55:38.286012
12987,without,Connie Jordan,David Graham,1858,relationship,particular,2024-12-27T11:31:25.386024,2024-12-18T22:38:30.904851
54668,court,Adrienne Moody,Tyler Hoffman,1825,east,buy,2023-06-21T13:42:45.493671,2024-09-23T05:37:21.092818
1202,enjoy,Sara Garza,Jeffrey Thompson,596,central,goal,2023-09-21T15:53:27.573372,2024-03-09T22:30:45.178291
56266,body,Nathaniel Hoffman,Amy Mcintosh,3456,base,might,2023-07-19T22:25:07.587215,2024-08-02T08:44:02.371719
13377,study,Gregory Stone,Howard Thompson,50,half,although,2024-08-24T10:48:22.135834,2024-02-08T14:00:36.145233
70502,reason,Cory Avila,Megan Lee,190,necessary,author,2024-07-22T03:15:23.619566,2024-09-14T03:19:48.220207
8772,pass,Erin Rodriguez,Hayley Beck,2517,memory,decade,2023-05-15T13:41:25.120633,2024-03-12T07:16:57.117600
55969,president,Michael Carter,Faith Wise,1021,sell,whatever,2024-02-25T20:46:47.082284,2024-04-01T02:07:52.787130
90415,enjoy,Larry Williams,Sabrina Rodriguez,404,especially,hit,2023-09-13T15:34:55.966329,2024-07-14T17:27:45.342278
41177,stock,John Banks II,Erica Rogers,1550,although,give,2024-07-16T17:48:21.203764,2024-08-16T14:20:32.138755
40902,order,Steven Clark,Brandon Gardner,3323,back,never,2023-04-05T17:49:19.498964,2024-08-24T19:38:11.736191
33112,least,Dakota Harvey,Jessica Wilson,3313,hour,many,2024-01-16T01:13:44.673985,2024-02-11T13:54:10.509364
17151,new,Justin Cook,David Chapman,3042,recent,day,2024-05-11T18:03:02.571468,2024-11-04T01:43:02.832679
68763,difficult,Jennifer Bond,Matthew Prince,2284,your,skill,2024-12-25T02:39:28.949738,2024-04-08T23:59:28.364283
69087,future,Nicholas Williamson,Darryl Brown,1129,listen,speak,2024-08-13T01:32:13.083751,2024-08-07T05:21:25.229985
50197,effort,Matthew Gonzalez,Clayton Wolf,1963,brother,pretty,2024-01-20T03:29:49.180388,2024-07-02T21:07:15.734748
54828,plant,Jeffrey Thomas,Steven Tran,1016,second,forward,2024-10-13T23:30:17.020163,2024-06-24T01:10:45.081016
15296,home,Breanna Anderson,Barbara Harris,375,perform,ago,2023-08-01T14:28:11.494276,2024-12-25T15:43:52.556363
30389,my,Andrea Evans,Andrew Dixon,2926,capital,realize,2023-10-28T05:44:35.972655,2024-06-30T03:24:54.778657
5233,though,Melinda Pierce,Elizabeth Walker,281,tree,heavy,2023-06-11T17:42:13.446685,2025-01-08T20:25:07.292526
46831,decision,Scott Fitzgerald PhD,Tracy Brooks,2963,stuff,we,2023-05-15T02:31:54.203841,2025-01-19T08:14:21.997886
71352,thank,Catherine Smith,Trevor Jordan,2865,affect,quality,2025-01-19T20:36:51.660431,2024-08-08T01:47:17.838490
28057,degree,Jack Mccoy,Julie Levine,395,me,mission,2023-07-11T23:10:52.928857,2024-08-21T02:00:22.782913
57069,get,Ashley Campbell,Melissa Walker,1285,bring,sport,2024-12-07T21:53:47.059083,2024-07-20T17:20:57.600430
37644,true,Timothy Garcia,Brian Keller,1566,agent,artist,2024-12-03T09:28:34.289048,2024-10-02T00:00:16.757339
95431,choice,Maria Hayes,Jeffery Guzman,1370,society,style,2024-04-02T05:09:11.866227,2024-02-27T10:33:31.238884
32344,water,Nicole Thomas,Donald Smith,1025,president,environment,2024-04-07T10:52:54.256062,2024-01-31T23:06:19.295148
72840,article,Gary Mooney,Dr. Andrew Petty,3365,growth,spend,2024-05-23T17:06:57.777983,2024-07-28T13:36:03.871640
47239,young,Nicholas Mason,Kelly Scott,2825,kind,example,2023-06-07T10:28:16.286408,2024-05-23T07:00:35.853219
19690,his,William Smith,Amber Avila,397,deal,soldier,2023-06-09T21:49:52.281237,2024-09-22T08:17:47.893939
47949,who,Jose Thompson,Jennifer Elliott,879,article,food,2023-04-20T06:11:09.879067,2024-03-21T07:07:18.189727
24834,time,Joshua Fowler,Maria Wright,2665,wind,dinner,2023-11-23T00:54:21.566458,2024-08-24T13:13:16.996150
