track_id,name,artist,songwriters,duration,genres,album,created_at,updated_at
49696,either,Kathryn Kirby,Jeffrey Johnson,2569,also,rich,2024-02-29T06:15:49.750501,2024-04-28T22:17:54.090577
38501,hear,Andrew Ross,Jeffrey Hunter,2583,throughout,bed,2023-08-23T12:29:43.253757,2024-05-12T06:37:25.780841
90707,according,Michael Gamble,Zachary Smith,3316,sit,energy,2024-08-11T00:25:59.298337,2024-11-18T15:12:21.951942
85789,together,Jennifer Smith,William Adams,3095,dog,beyond,2024-05-08T11:31:17.148052,2024-10-15T17:14:19.720861
12275,what,Angela Dennis,Lisa Wilson,1357,Congress,her,2024-12-12T14:32:38.185349,2024-05-22T16:19:58.929063
81423,civil,David Lewis,Amanda Wood,908,law,box,2023-07-28T10:00:58.947395,2024-10-12T11:31:31.845609
73657,world,Dale Ball,Sean Porter,2222,similar,education,2024-06-12T22:58:03.193290,2024-12-11T22:20:23.932947
59620,choose,Jack Perez,Timothy Lopez,676,total,easy,2024-03-24T10:35:18.007581,2024-08-14T16:03:24.950130
22663,like,Ariana Lloyd DDS,Kaitlyn Silva,2404,total,also,2024-07-06T22:28:02.616267,2024-07-07T15:32:44.295729
17170,that,Donald Thompson,Sarah Duncan,2822,environment,in,2023-11-24T08:21:22.712634,2024-07-06T06:31:31.418930
71809,sure,Paula Jordan,Anthony Johnson,622,quality,executive,2023-07-20T19:46:09.958225,2024-12-29T22:41:59.590032
41484,maintain,Andrea Caldwell,Richard Reyes,580,study,measure,2023-12-19T20:37:39.419193,2024-06-13T05:16:11.552310
46249,candidate,James House,Alicia Mason,227,house,vote,2025-01-23T13:00:22.656106,2024-05-09T23:56:14.012927
83557,four,John Walker,Lisa Jones,1799,job,thing,2024-02-04T17:48:19.965452,2024-11-18T20:08:05.759404
14590,color,Paul Murphy,Michelle Miller,3117,sound,moment,2024-05-24T05:34:42.468728,2024-04-16T21:03:33.095425
17833,nation,Richard Burke,Desiree Haynes,1054,two,mind,2024-05-05T08:17:51.381345,2024-06-04T00:31:31.677047
26537,social,Brandon Schwartz,Laura Wolfe,724,between,write,2024-03-02T12:54:34.261062,2024-08-27T09:17:16.852655
15263,his,Christian Brown,Charles Lang,1053,camera,them,2023-09-27T12:06:39.180851,2024-02-14T00:20:29.198516
1275,article,Anthony Nguyen,Steve Wright,774,student,common,2023-12-06T11:19:23.322803,2024-04-01T22:41:04.343801
39201,become,Jason Ramirez,Jennifer Martinez MD,531,special,window,2023-09-17T23:16:45.114306,2024-10-09T08:09:59.827239
8728,Mrs,Jaclyn Long DVM,Donna Bailey,1924,responsibility,effect,2024-03-18T06:47:20.091237,2024-08-03T14:08:12.282455
71914,tough,Vicki Martin,Robert Hartman,3498,thought,political,2023-03-04T03:44:14.693856,2024-07-25T09:13:14.403772
22275,lead,Alexis Todd,Kristin Johnson,3287,that,side,2024-09-01T03:26:02.209192,2024-04-15T23:27:33.483573
1482,perform,Thomas Foley,Steven Mejia,3371,perhaps,bit,2023-06-19T05:43:04.874122,2024-11-14T22:04:26.780633
13749,goal,Sue Stewart,Debbie Chen,2485,if,too,2023-11-07T13:11:38.297027,2024-03-08T03:11:10.101181
31207,knowledge,Stephen Allen,Shannon Cordova,2324,young,available,2024-04-10T14:36:26.833609,2024-12-11T18:17:55.847524
46684,television,Jeffrey Robbins,Justin Hall,1110,already,many,2024-07-27T07:23:36.692833,2024-10-25T10:56:50.524418
