track_id,name,artist,songwriters,duration,genres,album,created_at,updated_at
70018,door,Megan Miller,Jennifer White,2580,claim,set,2024-01-13T12:31:07.311054,2024-02-17T07:20:19.338520
52855,I,Jacqueline Lozano,Kimberly Cohen,1963,quality,trade,2024-04-23T04:57:20.895005,2024-03-02T03:06:58.857512
26180,else,Steven Blankenship,Chase Estrada,2917,state,control,2023-12-11T01:12:09.972441,2024-06-18T12:09:06.240929
11926,above,Brian Allen,Natalie Tyler,3020,skin,rate,2023-08-25T21:34:53.344283,2024-02-27T20:23:39.679376
57750,general,Rhonda Collins,Amber Olson,2078,realize,house,2024-08-22T21:58:24.225333,2024-09-04T12:41:38.493264
99650,green,Natalie Smith,Bryan Peters,2362,real,understand,2023-09-02T08:34:33.815578,2024-04-29T11:40:15.465573
6344,you,Corey Bush,Marvin Pittman,3276,do,raise,2023-04-18T06:53:09.062658,2024-06-14T19:40:19.030616
99663,board,Ryan Newman,Craig Estrada,1442,analysis,news,2024-01-14T12:23:24.324911,2024-12-29T21:54:41.947147
99515,speech,James Bartlett,Maria Caldwell,1721,accept,forget,2023-11-30T08:40:12.012354,2024-12-11T14:19:59.693244
94765,put,Margaret Johnson,Crystal Vargas,2969,TV,child,2024-05-15T04:08:06.904935,2024-02-22T09:27:07.303837
93450,road,Linda Allen,Daniel Mullins,2437,role,me,2023-10-16T06:54:13.809352,2024-08-12T00:23:25.159733
45874,radio,Shannon Harper,Leah Hoffman,2375,surface,star,2023-12-01T22:37:39.417670,2024-11-07T08:31:02.610530
29088,radio,Isabel Caldwell,Lori Li,1384,lay,learn,2024-12-07T05:59:27.492230,2024-03-14T22:25:16.825112
77828,between,Erika Barajas,Michael Martinez,2575,word,during,2024-06-28T19:07:12.276716,2024-12-08T10:15:51.011497
70450,unit,Samuel Morris,Craig Vaughn,3215,street,allow,2023-02-16T11:36:49.544011,2024-04-22T07:33:13.210306
61292,customer,Benjamin Dean,Gerald Nelson,162,those,interest,2023-05-10T23:27:04.721303,2024-07-15T06:08:00.636948
86475,successful,Carrie Hayes,John Cruz,1100,reality,marriage,2023-05-28T21:08:38.864930,2024-08-17T02:55:52.558519
6313,visit,Christian Jimenez,John Peterson,3515,try,space,2023-08-24T11:39:54.253205,2024-11-07T05:11:49.816225
25531,capital,George Hoover,Rose Elliott,2434,under,force,2024-12-24T22:52:25.154116,2024-09-10T23:31:33.791460
14458,no,Stephanie Alvarado,Darrell Perez,24,against,camera,2024-03-13T05:55:15.297384,2024-03-27T09:10:28.011045
