user_id,tracks_id,created_at,updated_at
78518,34193|19013|28160|73197|65989,2023-09-22T21:16:27.739254,2024-08-31T12:18:32.030226
62099,22609|78025|15723|47507|80259,2024-08-13T22:36:57.880250,2025-01-10T02:39:36.575630
95040,3167|77148|69690|49221|38929,2023-12-06T09:34:12.116870,2024-10-05T22:25:41.476650
78418,70220|26960|77490|20862|61155,2023-06-01T11:35:44.239162,2023-09-10T08:35:17.630993
53116,95086|85334|99920|85012|69412,2023-07-25T01:37:59.641001,2024-01-30T19:31:47.548680
82023,59070|9800|12067|78549|38969,2025-01-23T10:00:40.982546,2025-01-23T11:12:38.133091
95811,86725|31033|1832|4984|93509,2024-12-22T01:37:07.474593,2025-01-09T10:17:30.061932
56987,33632|30824|26898|6344|92696,2023-04-12T19:07:55.457511,2023-11-01T23:41:44.908618
83317,75200|9011|46776|18321|96635,2023-02-02T02:32:17.480610,2024-03-26T22:19:30.800161
78224,80314|94502|88410|46652|32798,2023-06-14T02:03:24.460522,2025-01-18T11:53:53.453351
44431,39587|60629|64988|58594|56869,2024-03-11T10:02:48.157303,2024-07-08T11:47:36.014287
78749,51684|51474|6344|63678|93605,2023-09-28T03:09:32.073618,2023-10-15T16:07:21.707240
82352,15818|46849|99858|8835|73047,2023-05-24T08:20:32.036754,2023-11-15T19:57:09.283835
49016,24363|68907|91599|65158|74004,2024-02-20T16:28:10.519898,2024-10-29T19:50:17.084621
67255,93605|82508|64067|22609|34668,2023-06-27T05:08:10.300161,2024-07-15T21:47:17.600671
56884,39774|94289|10423|12692|46021,2023-07-08T04:24:13.774233,2024-06-15T10:47:44.396970
12582,7771|2244|75222|60200|45874,2023-05-30T10:36:52.562224,2024-12-26T06:53:46.345702
65951,95361|42960|20270|85012|11529,2024-03-20T05:45:14.835966,2024-06-25T04:15:25.056021
16301,40800|89578|15580|42977|63042,2024-09-14T07:32:13.363566,2024-10-01T20:01:22.574410
18330,19339|15818|14123|48003|89034,2023-03-03T16:37:20.596678,2024-10-21T11:49:36.757371
57489,19339|25848|48769|17666|75669,2024-10-24T21:55:40.175289,2025-01-21T20:29:44.673302
95931,90801|49209|51729|85459|93179,2025-01-12T05:41:35.095801,2025-01-20T22:20:32.312046
40613,65683|37758|91590|28963|51336,2024-09-26T11:15:27.000930,2024-10-31T16:46:43.898374
65150,68801|45366|64218|26077|14440,2024-10-14T21:39:14.968997,2024-12-23T11:14:36.457734
87505,16609|99657|66031|14740|64121,2024-12-16T18:52:57.875644,2025-01-16T01:18:48.512528
8915,18398|96119|96123|37031|57863,2023-09-18T17:57:47.657163,2024-09-23T07:27:43.745590
19655,30824|60384|38127|47508|88862,2023-01-27T07:07:53.307265,2024-12-04T11:59:47.061875
15885,82151|4513|17605|37335|33976,2023-10-29T17:44:41.226458,2025-01-10T02:03:26.553546
81579,52713|96635|80267|41840|33976,2023-07-11T13:49:16.883680,2023-09-12T00:19:37.870779
59344,62978|29381|46849|90801|14458,2024-10-30T17:01:31.907223,2024-12-31T05:22:47.745336
9782,84638|1841|13982|47141|85261,2023-03-28T04:04:33.744714,2023-06-05T08:39:12.272435
65849,50101|2124|7631|6031|34117,2024-06-17T12:42:31.958479,2024-07-27T22:07:41.334737
98813,15795|26898|17014|80314|79563,2023-10-01T02:54:29.907062,2024-05-28T15:56:33.344210
51521,37498|51474|1832|78682|44763,2024-10-26T23:02:29.671338,2024-11-11T12:10:47.227752
29017,68656|62978|56921|59715|97616,2024-01-23T12:52:01.150951,2024-06-17T15:57:26.077804
39496,52855|44763|88695|6655|27585,2023-07-10T10:05:27.421795,2024-08-14T04:31:36.073362
77983,37093|71422|57132|96173|69935,2023-03-28T22:05:22.951341,2023-10-23T21:47:37.834400
18397,94289|91630|865|40181|40800,2024-11-08T17:48:21.662740,2024-11-29T01:21:23.081278
59047,36557|48798|99858|76531|74004,2024-02-17T15:05:38.275929,2025-01-06T14:40:11.100226
9727,86194|13567|27002|61008|52293,2024-01-14T14:38:01.815595,2024-08-22T12:17:55.246660
67604,33556|30824|10753|18774|27585,2024-08-18T06:04:32.785817,2024-11-20T07:11:45.559932
49396,29182|79874|98460|6515|22975,2023-06-01T20:11:26.115483,2024-02-16T15:42:32.368056
49934,95583|78549|90643|74034|17824,2024-08-03T17:05:33.937913,2024-10-13T06:14:58.185311
48735,5940|51474|44835|94710|9800,2023-10-25T21:50:21.255591,2024-12-29T12:23:13.214635
46856,85873|33512|98231|66844|1588,2023-11-12T21:37:01.532352,2024-01-10T10:42:51.995472
10716,7771|62739|77148|44835|68096,2024-08-27T02:35:30.522591,2024-10-19T02:38:17.046974
83191,92696|9876|61929|95477|27699,2023-11-28T03:39:51.678981,2024-09-21T21:49:33.404186
12115,82776|30878|46652|76531|76136,2023-03-12T06:10:09.896162,2023-11-05T13:10:45.309790
60121,34272|2857|3909|28009|88095,2023-07-05T19:49:03.846068,2024-04-29T20:07:19.951919
31874,22594|44454|26077|93692|87533,2023-12-18T16:53:52.087748,2024-01-20T19:56:51.620749
56391,27310|64791|67985|36817|61008,2023-01-28T18:54:28.507951,2023-03-29T22:33:45.222159
19156,11505|14642|76101|81784|90211,2024-03-31T17:28:24.943746,2024-11-13T02:54:33.648311
93878,1722|16016|55239|39920|39774,2023-11-29T19:24:52.376064,2024-02-18T17:12:53.591911
89297,93115|79094|74242|37031|63073,2024-10-27T19:45:21.612343,2025-01-19T08:51:56.069980
19695,56832|58887|68082|64165|38535,2025-01-04T04:45:42.005743,2025-01-20T02:59:55.642827
55503,19634|99606|35588|46880|6219,2024-11-22T03:18:31.026896,2025-01-10T18:11:39.625578
7814,26103|68096|53947|3689|68583,2023-11-18T11:38:13.256973,2024-08-27T20:21:34.879235
37004,55494|8268|58412|77595|39704,2023-04-17T22:54:15.355749,2024-08-13T15:21:54.051230
54669,25848|52293|52446|50009|49712,2024-04-23T02:36:03.148566,2024-11-28T01:18:00.975559
11790,3909|53859|60187|97616|7310,2023-04-12T19:35:09.802787,2024-06-14T09:12:20.884780
21904,65158|77828|2390|28314|44824,2024-02-19T20:39:48.885459,2024-11-08T00:47:09.271299
90222,58528|58037|79108|24858|69801,2024-05-06T19:01:44.149286,2024-09-08T11:29:15.367739
51076,16437|99657|46942|98231|37498,2025-01-08T14:44:21.660549,2025-01-16T11:00:53.760118
50941,66659|78682|80314|30609|91679,2024-09-17T22:03:46.854008,2024-12-04T21:25:06.277239
47867,87012|46021|30984|20315|42220,2023-10-13T05:06:53.697275,2024-09-03T03:50:29.288985
74930,50101|52079|38887|15258|37335,2025-01-02T23:31:41.814266,2025-01-21T16:31:52.192610
68358,63956|50172|44125|80267|73108,2024-12-26T15:50:23.342017,2025-01-05T05:27:52.278608
23770,89034|14123|95661|39587|14740,2024-12-25T17:33:32.153038,2024-12-30T14:08:58.793976
88875,45453|53896|60200|36280|10964,2024-12-19T17:35:37.999978,2025-01-03T11:53:04.205283
54789,45457|12067|20862|18926|80880,2023-09-06T23:21:43.474608,2024-10-16T04:41:43.022517
12365,51474|11143|56562|67695|9327,2024-02-03T03:20:13.347759,2024-06-28T11:34:33.429292
33314,19001|54056|58887|58383|41994,2023-07-19T14:04:58.233263,2023-11-28T03:40:22.869415
56599,56916|26077|57306|62213|99059,2023-06-21T18:54:45.764558,2024-02-08T03:59:01.867813
89514,1471|50047|9414|36557|8343,2024-07-17T07:37:17.983520,2024-11-18T18:40:50.467704
86852,18321|47542|52713|42752|55239,2023-06-27T12:37:37.830773,2024-10-28T11:21:13.423957
39204,91590|27114|55288|72796|1832,2024-05-26T11:15:25.238266,2024-09-08T15:27:47.004844
7773,55122|62287|85|91893|42752,2024-02-10T22:34:32.298839,2024-10-22T01:28:29.086632
23145,48978|24177|50047|9144|84638,2023-11-29T18:23:57.641626,2024-08-11T17:55:34.738953
52136,16609|46942|79196|16745|17471,2024-06-22T05:20:17.178483,2024-11-11T04:01:55.859651
22448,72176|17666|40287|29299|55283,2024-04-11T07:50:30.409083,2024-06-13T20:38:14.007629
9228,93218|63103|17605|82508|85880,2023-12-11T14:56:48.300113,2024-05-06T00:51:37.438792
52794,3347|64165|79783|94502|91599,2023-05-12T15:13:27.917908,2024-10-16T03:10:48.694468
33526,33563|34535|21721|25097|62894,2024-12-25T03:02:45.229157,2025-01-25T00:01:07.191923
30142,25992|42844|90696|57306|82508,2023-07-25T10:58:45.434070,2024-03-30T00:27:54.092408
15432,89730|30343|79819|82209|56869,2023-07-05T21:56:44.222579,2024-01-11T10:31:18.239884
84278,166|277|21265|14740|56921,2023-10-19T10:00:21.695692,2024-03-30T10:08:30.434465
22121,14554|76518|61008|56921|52488,2025-01-10T01:28:30.571200,2025-01-20T21:05:25.109293
51342,64433|16026|48455|89156|80699,2024-10-02T10:34:52.945552,2024-10-03T02:02:28.525030
94947,69170|40538|17466|22845|64067,2023-06-03T08:49:58.827575,2025-01-21T09:43:46.436847
14103,78096|29262|40562|22341|4407,2024-09-03T22:25:16.765960,2024-10-05T15:12:15.274426
38910,8221|49207|52446|19506|85063,2023-02-01T17:24:13.998164,2024-11-22T13:46:26.180024
23030,18065|30937|16763|44125|72964,2023-07-18T12:53:55.360916,2023-10-24T01:51:42.005424
54779,47542|35588|97725|47383|44477,2024-03-23T20:53:17.940223,2024-08-10T21:07:44.978469
60939,17605|95086|74707|59070|64988,2023-04-22T03:06:17.690914,2023-09-04T10:36:13.048392
48025,31490|51729|89599|98007|8343,2024-01-13T04:34:59.040433,2024-09-04T15:59:26.642671
47996,17939|44730|52917|59810|49209,2024-09-29T15:23:47.729422,2024-10-11T02:35:45.421316
74572,75200|23363|38929|99663|57863,2023-09-06T21:24:15.243827,2024-12-03T14:51:18.914591
57393,85063|80880|80267|35588|1841,2023-12-18T15:37:40.811958,2024-04-08T07:50:03.442779
85339,6666|14123|62948|56593|35567,2023-05-19T17:41:11.631470,2024-04-15T02:36:45.060029
53541,30609|29677|24983|46652|59715,2023-01-28T11:56:31.431369,2025-01-10T19:12:08.257383
42512,32744|28314|66569|33260|60547,2024-04-21T09:43:56.203606,2024-06-03T09:33:02.863758
50276,63042|66569|7631|74546|93337,2023-11-17T16:20:35.194250,2024-02-05T06:30:40.739363
80038,62123|34634|96975|89088|93112,2023-10-08T05:07:31.775079,2024-03-30T08:05:58.733620
86626,65061|78595|16016|14748|90696,2024-10-15T00:54:07.589325,2024-10-29T07:01:13.964362
53082,99663|30984|44446|29767|95361,2024-04-01T10:43:02.231385,2024-08-23T15:40:51.173731
76414,50104|27268|43836|91632|56562,2023-11-23T10:36:31.047310,2024-03-22T06:40:09.199571
36436,78025|79563|52890|41741|31716,2024-04-24T16:36:30.775312,2024-09-06T04:43:18.361390
78525,63042|69008|44479|37335|54551,2024-11-22T03:22:25.313863,2025-01-07T00:31:14.477444
8617,87641|30331|7310|40272|77741,2024-05-22T09:48:00.476509,2024-09-15T08:12:58.639880
65504,85083|92426|8520|65683|44326,2024-12-08T15:44:05.871272,2024-12-30T16:16:45.608402
76999,80314|34535|76518|55176|44439,2024-12-27T14:21:03.914931,2025-01-04T08:07:29.870207
45266,29381|26265|89156|8343|17014,2024-03-03T18:00:02.694016,2024-10-29T06:50:09.622641
37388,20768|1392|99059|74894|37758,2024-05-02T08:20:24.044943,2024-09-20T03:40:19.017165
40415,48040|43803|52446|94289|74707,2023-12-22T19:09:45.273644,2024-04-03T07:32:04.158401
66957,43269|28963|1054|52488|38969,2023-12-02T16:10:50.310136,2024-11-19T11:30:37.082123
79660,55166|30331|8955|36723|60676,2023-04-26T13:54:55.695431,2024-11-20T23:32:48.235873
87561,6651|51684|44477|46849|47141,2024-07-26T00:05:32.477956,2024-08-18T20:44:57.101323
49351,78682|63094|57306|4407|42290,2023-10-26T13:08:50.665078,2024-04-24T23:00:58.781224
67192,57034|39704|37758|60187|68374,2023-02-15T16:42:41.532706,2024-03-23T09:59:05.883940
95193,38998|95375|7950|91599|64159,2024-06-15T11:06:28.086484,2025-01-06T15:35:52.503328
80810,4432|98583|15580|9144|90572,2024-03-29T02:17:19.481477,2024-04-05T23:47:32.776649
98908,81722|41280|90801|86046|19582,2024-08-27T10:42:08.740759,2024-10-09T00:43:06.111928
37679,89542|54254|36664|4412|78137,2024-04-07T23:42:16.233072,2024-11-08T15:31:51.517417
59908,87533|5115|76388|92119|11531,2024-01-06T08:47:53.700504,2024-12-25T09:55:56.742818
73179,59715|36817|11213|54472|54514,2024-01-16T22:34:12.636786,2024-11-05T23:37:59.921138
24099,57156|39102|61669|30070|88695,2023-05-16T05:06:53.638903,2023-06-12T14:15:30.265596
35639,26737|52713|26077|52890|70018,2023-10-21T22:40:51.705944,2024-09-27T00:40:08.223579
83147,52699|54072|78549|61292|40800,2024-09-25T17:01:51.687323,2024-10-30T17:29:26.454799
61600,97884|74034|99650|67990|78025,2023-08-02T22:46:15.677765,2023-10-28T12:51:40.913262
90766,8520|28160|43836|38929|8686,2023-12-01T16:41:07.751712,2024-12-21T09:13:17.977198
8970,52446|20745|22621|40272|99719,2024-07-23T23:38:58.788464,2024-09-03T10:23:45.895622
36147,56916|28963|3689|62894|89578,2023-07-19T02:34:15.059028,2024-03-10T15:56:34.757128
55335,89465|66423|64433|9011|95175,2023-02-25T06:29:13.550225,2023-05-15T07:49:25.391149
4874,94799|32798|38275|80314|14748,2024-08-07T13:42:50.911655,2024-10-06T06:14:12.453829
12808,277|4407|99228|22594|166,2024-02-17T14:18:03.841029,2025-01-13T04:37:36.272239
55617,27268|67216|53038|48455|97364,2023-12-18T04:43:55.209745,2023-12-30T02:37:12.473657
48984,2722|62123|98231|8971|15258,2024-11-05T01:07:24.670961,2024-12-06T01:26:45.465386
74252,52713|25992|55409|89821|59357,2023-03-30T19:02:28.088996,2023-11-19T02:25:09.783971
62076,47508|40105|77828|78381|41994,2024-10-04T10:57:05.583386,2024-12-13T17:44:54.871352
50730,57132|9414|53071|81191|46849,2023-05-05T20:14:48.969733,2023-05-30T09:18:43.214874
78871,7985|22480|48455|40846|79722,2023-09-09T11:27:35.359314,2024-01-13T12:09:06.156684
88671,82151|75992|38998|46784|44763,2023-11-25T19:41:04.189892,2024-08-15T07:08:26.546505
11234,55994|31741|47141|55166|78549,2023-10-01T23:54:29.698208,2024-06-18T12:20:26.031441
75044,99801|15795|59070|77490|30609,2024-04-28T10:31:46.947832,2024-06-20T14:19:24.700531
54011,27897|82836|70018|93012|5756,2024-12-30T12:51:35.516037,2025-01-17T07:20:02.678522
72800,21368|34193|6666|19980|16609,2023-12-24T17:32:57.104725,2024-07-19T02:49:40.380774
